id,tenquan,diachi,rating
1,Yumi Fruit - Trái Cây Sạch & Đồ Ăn Vặt - Shop Online - Lê Thị Bạch Cát,"123 Lê Thị Bạch Cát, P. 13, Quận 11, TP. HCM",4.5
2,Phúc Long D39 Bình Trưng Tây,"109 Đường 39, Ấp Trung 2, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",4.5
3,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Nguyễn Thị Nghĩa","16 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",4.5
4,Tea Joy - Trà & Trà Sữa - Điện Biên Phủ,"250 Đường Điện Biên Phủ, P. Võ Thị Sáu, Quận 3, TP. HCM",0
5,"Cô Hạnh - Mì Xào Bò, Nui Xào Bò & Cơm Gà Xối Mỡ","490 Lý Thái Tổ, P. 10, Quận 10, TP. HCM",4.5
6,Cô Lan - Bánh Tráng Trộn,"1 Đường 3 Tháng 2, P. 11, Quận 10, TP. HCM",4.5
7,Phúc Long Số 24 Đoàn Kết,"24 Đoàn Kết, KP. 2, P. Bình Thọ, Thành Phố Thủ Đức, TP. HCM",4.5
8,Đậu Má Mix - Đậu Nành & Rau Má - CMT8,"153 Cách Mạng Tháng Tám, P. 5, Quận 3, TP. HCM",4.5
9,Chị Lan - Bắp Xào & Hột Vịt Lộn - Nguyễn Văn Công,"73 Nguyễn Văn Công, P. 3, Gò Vấp, TP. HCM",4.5
10,Chuk Trà & Cà Phê - 105 Phan Xích Long,"103 - 105 Phan Xích Long, P. 2, Phú Nhuận, TP. HCM",4.5
11,Chuk Express Trà & Cà Phê - Giga Mall,"Tầng 4, 240 - 242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Thành Phố Thủ Đức, TP. HCM",4.5
12,Gong Cha - Trà & Cà Phê - Nguyễn Sơn,"7 Nguyễn Sơn, P. Phú Thạnh, Tân Phú, TP. HCM",4.5
13,YAGAMI - Mì Cay - Dân Chủ,"103 Dân Chủ, P. Bình Thọ, Thành Phố Thủ Đức, TP. HCM",4.5
14,Thức Coffee - Đường Số 41,"2 Đường Số 41, P. 6, Quận 4, TP. HCM",4.5
15,Boost Juice - Smoothies & Nước Ép Trái Cây - Điện Biên Phủ,"119/2 Điện Biên Phủ, P. Đa Kao, Quận 1, TP. HCM",4.5
16,Ramen Kimura - Sư Vạn Hạnh,"465 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",4.5
17,Gà Rán Oppa Chicken - Nguyễn Văn Giai,"20 Nguyễn Văn Giai, P. Đa Kao, Quận 1, TP. HCM",4.5
18,Phở Nhà - 156 Nguyễn Xí,"156 Nguyễn Xí, P. 26, Bình Thạnh, TP. HCM",4.5
19,"Hoành Thánh Lá, Bánh Canh & Nui Hồng Lê - Bùi Đình Túy","125/77/12B Bùi Đình Túy, P. 24, Bình Thạnh, TP. HCM",4.5
20,Domino’s Pizza - Quốc Hương,"14G Quốc Hương, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",4.5
21,Trà Sữa Maycha - 47B Phan Huy Ích,"47B Phan Huy Ích, P. 15, Tân Bình, TP. HCM",4.5
22,Cơm Thố Anh Nguyễn - Vinhomes Grand Park (Q.9),"Shophouse S1.07.01S11 Vinhomes Grand Park, Đường Nguyễn Xiển, P. Long Thạnh Mỹ, Thành Phố Thủ Đức, TP. HCM",4.5
23,Cơm Tấm Phúc Lộc Thọ - Tô Ký,"12/6 Tô Ký, P. Tân Chánh Hiệp, Quận 12, TP. HCM",4.5
24,TH true mart - Hoàng Diệu - 70000229,"165 Hoàng Diệu, P. Linh Chiểu, Thành Phố Thủ Đức, TP. HCM",4.5
25,Trà Sữa Sekai - Phan Đình Phùng,"179 Phan Đình Phùng, P. 17, Phú Nhuận, TP. HCM",4.5
26,Burger King - Nguyễn Tri Phương,"539 Nguyễn Tri Phương, P. 8, Quận 10, TP. HCM",4.5
27,TUTIMI - Milo Dầm - Trà Sữa & Coffee - Nguyễn Tri Phương,"372 Đ. Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",4.5
28,Café Amazon - Hai Bà Trưng,"97 Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM",4.5
29,Cơm Chay Bình An,"230 Nguyễn Xí, P. 13, Bình Thạnh, TP. HCM",4.5
30,Bún Thái Siêu Ngon - Bún Thái & Mì Trộn Sốt Thái,"24 Lô J Chung Cư Nguyễn Thiện Thuật, P.1, Quận 3, TP. HCM",4.5
31,Bún Bò Hương Thanh - Lạc Long Quân,"212 Lạc Long Quân, P. 10, Quận 11, TP. HCM",4.5
32,BIBO Bánh Cuốn Nóng - Bánh Cuốn Truyền Thống - Đường Số 9,"208/28 Đường Số 9, P. 16, Gò Vấp, TP. HCM",4.5
33,"Cá Viên Chiên Sumi - Mì Cay Samyang, Ăn Vặt - Tôn Đản","148/12/25 Tôn Đản, P. 8, Quận 4, TP. HCM",4.5
34,Mr. Nem - Nem Nướng Nha Trang & Bún Thịt Nướng - Cây Trâm,"400 Cây Trâm, P. 8, Gò Vấp, TP. HCM",4.5
35,Cơm Gà Đông Nguyên - Hà Huy Tập,"53 Hà Huy Tập, P. Tân Phong, Quận 7, TP. HCM",4.5
36,Cơm Tấm Chay TUTE - Nguyễn Thông,"62/14A Nguyễn Thông, P. 9, Quận 3, TP. HCM",4.5
37,Quán Cơm Chiên - Linh Đông,"192 Linh Đông, P. Linh Đông, Thành Phố Thủ Đức, TP. HCM",4.5
38,"Minh Thư 8 - Cơm Gà Xối Mỡ, Cơm Trắng Các Món & Nước Ép - Hoàng Diệu 2","218 Hoàng Diệu 2, P. Linh Chiểu, Thành Phố Thủ Đức, TP. HCM",4.5
39,Cơm Gà Chang Tròn Bàu Cát 4 - Nguyễn Hồng Đào,"180A Nguyễn Hồng Đào, Tân Bình, TP. HCM",0
40,Trà Bí Đao & Trà Sữa Taiwan - Ms.Bí - Phan Văn Hớn,"1/3C Phan Văn Hớn, X.Bà Điểm, Hóc Môn, TP. HCM",4.5
41,Há Cảo Phụng Tỷ - Há Cảo & Xíu Mại - Bình Trị Đông,"363/21/14 Bình Trị Đông, P. Bình Trị Đông A, Bình Tân, TP. HCM",4.5
42,"Ăn Vặt CƯỜNG NGÂN - Xoài Cóc Non, Chân Gà & Bánh Tráng - Lê Văn Lương","556/2 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",4.5
43,Bún Đậu Nón Lá - Nguyễn Tri Phương,"188 Nguyễn Tri Phương, P.4, Quận 10, TP. HCM",4.5
44,KuBin - Trà Sữa Thạch Phô Mai - Huỳnh Tấn Phát,"1806/21 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, TP. HCM",4.5
45,Gờ Cafe - Phan Văn Trị,"64 Phan Văn Trị, P. 2, Quận 5, TP. HCM",4.5
46,Kem Swensen's - Nguyễn Thái Học,"73 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5
47,Cháo Ếch Singapore 1992 - Cháo Ếch - Cách Mạng Tháng 8,"1054/15/1A Cách Mạng Tháng 8, P. 4, Tân Bình, TP. HCM",4.5
48,Bánh Bao Thúy Đỗ - Bánh Bao Xá Xíu Phô Mai - 173 Nguyễn Thiện Thuật,"173 Nguyễn Thiện Thuật, P. 1, Quận 3, TP. HCM",4.5
49,Chân Gà Sốt Thái & Gỏi Bạch Tuộc - Bùi Đình Tuý,"304/61 Bùi Đình Tuý, P. 12, Bình Thạnh, TP. HCM",4.5
50,"Mì Xào Bò, Hủ Tiếu Xào Bò & Cơm Chiên Xá Xíu - Tâm Ký","75 Đường Hoàng Ngọc Phách, P. Phú Thọ Hòa, Tân Phú, TP. HCM",4.5
51,Cháo Sườn Phong - Cháo Sườn - Cách Mạng Tháng 8,"1054/15/1 Cách Mạng Tháng 8, P. 4, Tân Bình, TP. HCM",4.5
52,Hủ Tiếu Nam Vang Anh Đức - Lê Quang Định,"266 Lê Quang Định, P. 11, Bình Thạnh, TP. HCM",4.5
53,Kem Dairy Queen - Lotte Mart Gò Vấp,"Tầng Trệt, Tầng Trệt Lotte Mart Gò Vấp, 242 Nguyễn Văn Lượng, P. 10, Gò Vấp, TP. HCM",4.5
54,"Cơm Gà, Cháo, Miến Gỏi Gà Ta Tường Vy - Nguyễn Thượng Hiền","154 Nguyễn Thượng Hiền, P. 4, Quận 3, TP. HCM",4.5
55,Bánh Tráng Cô Sương - Bánh Tráng Chấm & Bánh Tráng Cuốn - Phùng Văn Cung,"2G Phùng Văn Cung, P. 7, Phú Nhuận, TP. HCM",4.5
56,Sữa Chua Trân Châu Hạ Long - Đường Số 7,"247 Đường Số 7, P. Bình Trị Đông B, Bình Tân, TP. HCM",4.5
57,VietBerry - Trái Cây Gọt Sẵn & Trà Trái Cây Tươi - Âu Cơ,"159 Âu Cơ, P. 14, Quận 11, TP. HCM",0
58,Sinh Tố Tao Đàn - Út Tịch,"30 Út Tịch, P. 4, Tân Bình, TP. HCM",4.5
59,TOUS les JOURS - Hai Bà Trưng,"180 Hai Bà Trưng, Quận 1, TP. HCM",4.5
60,Ai-CHA - Phan Xích Long,"228 Phan Xích Long, P. 7, Phú Nhuận, TP. HCM",4.5
61,The Pizza Company - Vành Đai Trong,"313 - 315 Vành Đai Trong, P. Bình Trị Đông B, Bình Tân, TP. HCM",4.5
62,Bún Đậu Mắm Tôm - VUA ĐẬU & BÚN ĐẬU NHÀ VUA - 254 Vạn Kiếp,"254 Vạn Kiếp, P. 3, Bình Thạnh, TP. HCM",4.5
63,Thành Đạt - Hủ Tiếu Nam Vang - 22C Nguyễn Hữu Cầu,"22C Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",4.5
64,Cơm Tấm Ba Ghiền Không Chi Nhánh - 84 Đặng Văn Ngữ,"84 Đặng Văn Ngữ, P. 10, Phú Nhuận, TP. HCM",4.5
65,Joy Joy Dessert Milk Tea Store - Trà Sữa Express - Bạch Mã,"U4 Bạch Mã, P. 15, Quận 10, TP. HCM",4.5
66,Cơm Thố Bụi - 12 Nguyễn Sơn Hà,"12 Nguyễn Sơn Hà, P. 5, Quận 3, TP. HCM",4.5
67,Trà Sữa Cueicha - Crescent Mall,"Tầng 5, Tầng 5 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",4.5
68,Cơm Gà Đệ Nhất - Đỗ Xuân Hợp,"139 Đỗ Xuân Hợp, P. Phước Long B, Thành Phố Thủ Đức, TP. HCM",4.5
69,SIMPLE CAKE - Bánh Kem Bắp - Ung Văn Khiêm,"08 Ung Văn Khiêm, P. 25, Bình Thạnh, TP. HCM",4.5
70,Bánh Mì Patê Cột Đèn Hải Phòng - Đường Số 1,"141 Đường Số 1, P. Tân Phú, Quận 7, TP. HCM",4.5
71,Chè Thái Út Lyly,"384 Nguyễn Trọng Tuyển, P. 2, Tân Bình, TP. HCM",4.5
72,Lu Yu Tea - Trà Sữa Olong Đặc Sản - Thạch Lam,"24 Thạch Lam, P. Phú Thạnh, Tân Phú, TP. HCM",4.5
73,Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi,"212A/A37 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5
74,Anh Cá Viên - Quốc Lộ 13,"Số 518 Quốc Lộ 13, P. Hiệp Bình Phước, Thành Phố Thủ Đức, TP. HCM",4.5
75,Phở Chay & Cafe - The Tching,"646A Nguyễn Trãi, P. 11, Quận 5, TP. HCM",4.5
76,Quán Ngon Trảng Bàng - Chính Gốc - Không Chi Nhánh,"68A Nguyễn Thị Thập, P. Bình Thuận, Quận 7, TP. HCM",4.5
77,Ninki Matcha Concept - Dương Đình Hội,"166 Dương Đình Hội, P. Phước Long B, Thành Phố Thủ Đức, TP. HCM",5
78,Mr.Eco Salad Healthy - Food & Drinks - Phan Đình Phùng,"185/9 Phan Đình Phùng, P.17, Phú Nhuận, TP. HCM",4.5
79,"Cơm Gà, Cháo Gỏi & Miến Gà Đất Quảng Quán - Bùi Đình Tuý","16 Bùi Đình Túy, P. 25, Bình Thạnh, TP. HCM",4.5
80,"Má Phượng - Nem Nướng, Bún Thịt Nướng & Bánh Canh - Đặc Sản Phú Yên","230 Cây Trâm (Nguyễn Văn Khối), Gò Vấp, TP. HCM",4.5
81,Cơm Chay Diệu Vy - Đề Thám,"61 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",4.5
82,Út Trang - Bánh Canh Cua & Súp Cua - Nguyễn Đình Chiểu,"289 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",4.5
83,Cơm Tấm - Dì Út,"55/8 Bis Trần Đình Xu, P. Cầu Kho, Quận 1, TP. HCM",4.5
84,3 Con Gà - Cơm Gà Phú Yên - 90 Điện Biên Phủ,"90 Điện Biên Phủ, P. 17, Bình Thạnh, TP. HCM",0
85,"Burger Viet - Bánh Mì, Mỳ Ý & Gà Rán - Thống Nhất","433 Đường Thống Nhất, P. 11, Gò Vấp, TP. HCM",4.5
86,Cơm Văn Phòng Min - Nguyễn Thượng Hiền,"82 Nguyễn Thượng Hiền, P. 4, Quận 3, TP. HCM",4.5
87,Cô Tuyến - Bún Riêu & Bò Kho,"Hẻm 242/5 Tôn Đản, P. 8, Quận 4, TP. HCM",4.5
88,Cơm Xá Xíu Thượng Hạng Icom - Đường số 41,"T58 Hẻm 99 Đường số 41, P. 6, Quận 4, TP. HCM",4.5
89,Cơm Chay Diệu Phương - Nguyễn Gia Trí,"29/3A Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",4.5
90,Cơm Tấm Sườn Que - 547 Sư Vạn Hạnh,"547 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",4.5
91,Trung Nguyên E-Coffee - 150 Nguyễn Thiện Thuật,"150-152 Nguyễn Thiện Thuật, P.3, Quận 3, TP. HCM",4.5
92,Bún Đậu Mắm Tôm Ba Anh Em - 263 Lê Văn Thọ,"263 Lê Văn Thọ, P. 8, Gò Vấp, TP. HCM",0
93,Cô Diệu - Bánh Canh Cua - Nguyễn Thị Thập,"389 Nguyễn Thị Thập, P. Tân Phong, Quận 7, TP. HCM",4.5
94,Bún Chả Hà Nội 1982 - Bùi Đình Túy,"55 Bùi Đình Túy, P. 24, Bình Thạnh, TP. HCM",4.5
95,Green Chay - Cơm Chay & Bún Chay - Quốc Hương,"33/12 Quốc Hương, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",4.5
96,Cơm Gà Hải Nam - Nguyễn Tri Phương,"379 Nguyễn Tri Phương, P. 5, Quận 10, TP. HCM",4.5
97,Quán Ăn Huế O Xuân,"22 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",4.5
98,"Bún Thịt Nướng, Cơm Tấm & Nui Xào - Má Bảy","21/32a Đường 26, P. Bình An, Thành Phố Thủ Đức, TP. HCM",4.5
99,Mì Udon Wokku - 65 Trần Não,"65 Trần Não, P. An Khánh, Thành Phố Thủ Đức, TP. HCM",4.5
100,Kimbap Hoàng Tử - Món Hàn Quốc - Phan Văn Trị,"1411 Phan Văn Trị, P. 10, Gò Vấp, TP. HCM",4.5
101,Bà Xã Vegan - Nhà Hàng Chay - Pasteur,"178/4 Pasteur, P. Bến Nghé, Quận 1, TP. HCM",4.5
102,"Cơm Mì Bún Hến, Món Huế 3 Mẹt - Lê Hoàng Phái","21/4 Lê Hoàng Phái, P.17, Gò Vấp, TP. HCM",4.5
103,Nem Nướng Nha Trang Thiện Tâm - Bà Hạt,"006 Lô B, Chung Cư Ấn Quang, Đường Bà Hạt, P. 9, Quận 10, TP. HCM",4.5
104,Thanh Thành Đạt - Hủ Tiếu Nam Vang - 43 Đinh Tiên Hoàng,"43 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",4.5
105,Cơm Gà Xối Mỡ Cô Sáu - Cách Mạng Tháng 8,"595/35/10B Cách Mạng Tháng 8, P. 15, Quận 10, TP. HCM",4.5
106,Vegan365 - Thuần Chay 365 - Nguyễn Trãi,"245/5 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5
107,Cô Hoa - Cơm Văn Phòng - Nguyễn Văn Khối,"519/9 Nguyễn Văn Khối, Gò Vấp, TP. HCM",4.5
108,Bếp Xanh - Cơm Gà & Bánh Hỏi - Nguyễn Văn Trỗi,"164A Nguyễn Văn Trỗi, P. 8, Phú Nhuận, TP. HCM",4.5
109,"Quán Cô Hảo - Bánh Canh, Bánh Bèo & Bánh Đúc Nóng - Nguyễn Trãi","212B/D41B Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5
110,Mì Trộn & Mì Tương Đen Bố Già - Trần Quý,"148 Trần Quý, P. 6, Quận 11, TP. HCM",4.5
111,XÓM Chay & Cơm Văn Phòng - Quang Trung,"293 Quang Trung, P. 10, Gò Vấp, TP. HCM",4.5
112,Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",4.5
113,"Mì Tươi, Mì Ý & Mì Trộn - CTG Food - Nguyễn Gia Trí","69/1/40 Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",0
114,Bún Đậu Mắm Tôm A - Xìn - 118 Tân Kỳ Tân Quý,"118 Tân Kỳ Tân Quý, P. Sơn Kỳ, Tân Phú, TP. HCM",4.5
115,Bà Lâm - Cháo Vịt & Gỏi,"343/2 Tô Hiến Thành, P. 12, Quận 10, TP. HCM",4.5
116,Kim Oanh - Bún Bò & Phở Bò Kho,"6 Lâm Văn Bền, P. Tân Kiểng, Quận 7, TP. HCM",4.5
117,Cơm Gà Nam Chợ Mới - 497 Phạm Văn Chiêu,"497 Phạm Văn Chiêu, P. 13, Gò Vấp, TP. HCM",4.5
118,"Bún Riêu, Canh Bún, Mì Xào CÔ TIÊN","89 Trần Khắc Chân, P. 9, Phú Nhuận, TP. HCM",4.5
119,Bánh Cuốn Tây Hồ - Đinh Tiên Hoàng,"127 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",4.5
120,Shaman Tea - Trà Sữa Pha Máy - Nguyễn Thượng Hiền,"86 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",4.5
121,Cô Ba - Cơm Gà Xối Mỡ - Chung Cư Ngô Gia Tự,"040 Lô M Chung Cư Ngô Gia Tự, Trần Nhân Tôn, P. 2, Quận 10, TP. HCM",4.5
122,Kimbap City - Món Ăn Hàn Quốc - Cách Mạng Tháng 8,"134/16 Cách Mạng Tháng 8, P. 9, Quận 3, TP. HCM",4.5
123,Bún Đậu Đi - Phan Văn Hân,"177 Phan Văn Hân, P. 17, Bình Thạnh, TP. HCM",4.5
124,Hào Sữa Pháp - Hoàng Sa,"149 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM",4.5
125,"Big Burger - Hamburger, Beefsteak & Bakery - Đặng Thúc Liêng","160 Đặng Thúc Liêng, P. 4, Quận 8, TP. HCM",4.5
126,"ReViet Juice - Nước Ép, Sinh Tố & Detox - Thăng Long","57 Thăng Long, P. 4, Tân Bình, TP. HCM",4.5
127,Tiệm Trà Be Bé - Trần Hưng Đạo,"219/33 Trần Hưng Đạo, P. Cô Giang, Quận 1, TP. HCM",0
128,Bánh Mì Hà Nội Long Duyên - Tân Sơn Nhì,"205 Tân Sơn Nhì, P. Tân Sơn Nhì, Tân Phú, TP. HCM",4.5
129,Vĩnh Tâm - Cơm Xá Xíu,"649 Trần Xuân Soạn , Quận 7, TP. HCM",4.5
130,Ẩm Thực Đường Phố Thái Lan Ông Thái Shop - Tom Yum - Đặng Thùy Trâm,"23/25 Đặng Thùy Trâm, P. 13, Bình Thạnh, TP. HCM",0
131,ChaPong - Trà Sữa & Cà Phê - Cư Xá Lữ Gia,"45 Đường Số 3, Cư Xá Lữ Gia, P. 15, Quận 11, TP. HCM",4.5
132,"Cơm Gà Lá Dứa, Healthy Food & Cơm Văn Phòng - Bếp Ansa","71/2/58 Nguyễn Bặc, P. 3, Tân Bình, TP. HCM",4.5
133,Quán Út Linh - Bún Riêu Cua Đồng,"005 lô G, Chung Cư Bàu Cát 2, P. 10, Tân Bình, TP. HCM",4.5
134,VOCUPPA CAFÉ - Waffle & Dessert - Điện Biên Phủ,"195 Điện Biên Phủ, P. 15, Bình Thạnh, TP. HCM",4.5
135,Trà Sữa Mr Hon - Nguyễn Văn Nghi,"132 Nguyễn Văn Nghi, P.5, Gò Vấp, TP. HCM",4.5
136,Tiệm Trà Sữa Chút Tea - Trần Thị Điệu,"11 Trần Thị Điệu, P. Phước Long B, Thành Phố Thủ Đức, TP. HCM",4.5
137,Bánh Mì Tô - Bò Kho & Xíu Mại & Lagu Gà - Hoàng Diệu,"K64 Đường Hoàng Diệu, P. 6, Quận 4, TP. HCM",4.5
138,"Teespresso - Trà Sữa, Trà Trái Cây & Sữa Tươi - 112A Tây Thạnh","112A Tây Thạnh, P. Tây Thạnh, Tân Phú, TP. HCM",4.5
139,Cơm Gà Út Hà - Nguyễn Văn Đậu,"47/64 Nguyễn Văn Đậu, P. 5, Bình Thạnh, TP. HCM",4.5
140,Bún Ốc Sườn Cô Sáu - Quận 1,"454 Hai Bà Trưng, P. Tân Định , Quận 1, TP. HCM",4.5
141,Thèm - Trà Sữa Chống Khẩu Nghiệp - Đường Số 17,"59a Đường Số 17, P. Tân Quy, Quận 7, TP. HCM",4.5
142,Nước Mía Mix & Ăn Vặt LON TON,"1055 Phan Văn Trị, P. 10, Gò Vấp, TP. HCM",3.5
143,Kem Bơ - Trái Cây Tô 251 - Đoàn Văn Bơ,"516 Đoàn Văn Bơ, P. 14, Quận 4, TP. HCM",4.5
144,Trà Sữa Sunday Basic - Phan Văn Hớn,"52/1B Phan Văn Hớn, Ấp Tiền Lân 1, X. Bà Điểm, Hóc Môn, TP. HCM",4.5
145,GENKI - Trà Sữa & Cà Phê - Ngô Thời Nhiệm,"87 Ngô Thời Nhiệm, P. Võ Thị Sáu, Quận 3, TP. HCM",4.5
146,KOI Thé - Vincom Mega Mall Thảo Điền,"B1-K11-K12-K13, Vincom Mega Mall Thảo Điền, 161 Xa Lộ Hà Nội, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",4.5
147,"Cơm Delichi - Cơm Sườn, Ba Rọi Xốt, Cơm Văn Phòng - Vườn Chuối","117/3 Vườn Chuối, P. 4, Quận 3, TP. HCM",4.5
148,"Bento Delichi - Cơm Gà Xối Mỡ, Cơm Gà Mắm Tỏi - Pasteur","206 Pasteur, P. Võ Thị Sáu, Quận 3, TP. HCM",5
149,Bánh Mì Ơi - 132 Hoàng Hoa Thám - Tân Bình,"132 Hoàng Hoa Thám, P. 12, Tân Bình, TP. HCM",4.5
150,Trà Sữa ToCoToCo - 19B Hiệp Bình,"19B Hiệp Bình, P. Hiệp Bình Chánh, Thành Phố Thủ Đức, TP. HCM",4.5
